"Pressure (Pa)","X (m)","Y (m)","Z (m)"
0.2835532625854138,-0.050215082995380619,0,0.035159430867715682
0.29282210332707509,-0.048033527357838113,0,0.053597507622219286
0.2987562394519705,-0.044949818306491154,0,0.07190669971369848
0.3029466908218118,-0.04097368135628765,0,0.090024234339275019
0.30588103417584162,-0.036088863755969855,0,0.10799765638269324
0.30808645933888207,-0.030296912385495749,0,0.12579429980570409
0.31004134633808572,-0.023655937739017804,0,0.14322778421129187
0.31155977437293042,-0.016192844085175934,0,0.16024388186288191
0.31271068901446597,-0.0079073749172248724,0,0.17686048235675164
0.31363140691193975,0.001183764865845623,0,0.19304937064043032
0.3147211449966571,0.045264302590907572,0,0.25290613859867195
0.31434117049657023,0.011050408570508964,0,0.20875981994951787
0.31473139176291892,0.033134698451745243,-0,0.23875232115395256
0.3147272954048777,0.021700560660370148,0,0.22399711075822568
