"Time","Volume Integral 1 Monitor: Volume Integral 1 Monitor (m^3)"
48.34999999999895,3.41588887712142E-5
48.379999999998944,3.4165126384901475E-5
48.40999999999894,3.417135643761724E-5
48.43999999999893,3.417757911194278E-5
48.469999999998926,3.418379456240196E-5
48.50999999999892,3.419207016677677E-5
48.53999999999891,3.419826838896836E-5
48.569999999998906,3.420445940889449E-5
48.5999999999989,3.4210642680151304E-5
48.629999999998894,3.421681877492266E-5
48.65999999999889,3.422298731923E-5
48.68999999999888,3.4229148190860855E-5
48.719999999998876,3.423530144503927E-5
48.74999999999887,3.4241447537046084E-5
48.779999999998864,3.424758562556792E-5
48.819999999998856,3.425575817872828E-5
48.84999999999885,3.426187875145513E-5
48.879999999998844,3.4267991812199646E-5
48.90999999999884,3.427409700279561E-5
48.93999999999883,3.4280194361165106E-5
48.96999999999883,3.4286283791576566E-5
48.99999999999882,3.429236531998139E-5
49.029999999998815,3.429843878772974E-5
49.05999999999881,3.430450414819594E-5
49.0999999999988,3.431257846952422E-5
49.129999999998795,3.4318624415241144E-5
49.15999999999879,3.4324661821157345E-5
49.18999999999878,3.433069053886148E-5
49.21999999999878,3.433671055676436E-5
49.24999999999877,3.434272163513423E-5
49.279999999998765,3.434872385287286E-5
49.30999999999876,3.435471683440058E-5
49.33999999999875,3.4360700849906426E-5
49.379999999998745,3.436866470431848E-5
49.40999999999874,3.43746266312477E-5
49.43999999999873,3.4380579179771586E-5
49.46999999999873,3.4386522009607516E-5
49.49999999999872,3.439245489789247E-5
49.529999999998715,3.439837804914767E-5
49.55999999999871,3.4404290717029075E-5
49.5899999999987,3.441019276380859E-5
49.6199999999987,3.441608436860905E-5
49.64999999999869,3.442196524606209E-5
49.68999999999868,3.4429789159789266E-5
49.71999999999868,3.443564375224339E-5
49.74999999999867,3.4441486950423836E-5
49.779999999998665,3.444731841580466E-5
49.80999999999866,3.4453138084669584E-5
49.83999999999865,3.4458945742572385E-5
49.86999999999865,3.4464741036314045E-5
49.89999999999864,3.447052409796155E-5
49.929999999998635,3.447629421075774E-5
49.96999999999863,3.448396804225456E-5
49.99999999999862,3.448970807715396E-5
50.029999999998616,3.449543475557847E-5
50.05999999999861,3.4501148067760534E-5
50.089999999998604,3.450684780778557E-5
50.1199999999986,3.451253372065825E-5
50.14999999999859,3.4518205356137325E-5
50.179999999998586,3.4523862191281885E-5
50.20999999999858,3.452950416118007E-5
50.24999999999857,3.453700346352283E-5
50.279999999998566,3.4542610293417774E-5
50.30999999999856,3.4548201899552776E-5
50.339999999998554,3.455377776151579E-5
50.36999999999855,3.4559337711102436E-5
